"Distance","Longitude","Latitude","Elevation","Horizon","method","ID","Range"
0,35.390332,32.554244,NA,"eocene_Base","Source","AA'",NA
467.4226132,35.38897133,32.55019986,NA,"eocene_Base","Source","AA'",NA
934.8452264,35.38761079,32.5461557,NA,"eocene_Base","Source","AA'",NA
1402.26784,35.38625036,32.54211154,NA,"eocene_Base","Source","AA'",NA
1869.690453,35.38489006,32.53806735,NA,"eocene_Base","Source","AA'",NA
2337.113066,35.38352988,32.53402315,NA,"eocene_Base","Source","AA'",NA
2804.535679,35.38216983,32.52997894,NA,"eocene_Base","Source","AA'",NA
3271.958292,35.38080989,32.52593471,NA,"eocene_Base","Source","AA'",NA
3739.380905,35.37945008,32.52189047,253,"eocene_Base","Source","AA'",NA
4206.803519,35.37809039,32.51784621,153,"eocene_Base","Source","AA'",NA
4674.226132,35.37673083,32.51380194,83,"eocene_Base","Source","AA'",NA
5141.648745,35.37537138,32.50975765,41,"eocene_Base","Source","AA'",NA
5609.071358,35.37401206,32.50571335,8,"eocene_Base","Source","AA'",NA
6076.493971,35.37265286,32.50166904,-12,"eocene_Base","Source","AA'",NA
6543.916585,35.37129379,32.4976247,-24,"eocene_Base","Source","AA'",NA
7011.339198,35.36993483,32.49358036,-34,"eocene_Base","Source","AA'",NA
7478.761811,35.368576,32.489536,-42,"eocene_Base","Source","AA'",NA
8131.822469,35.36461055,32.48440299,-32,"eocene_Base","Source","AA'",NA
8789.164709,35.36064555,32.47926986,-49,"eocene_Base","Source","AA'",NA
9449.89508,35.35668101,32.47413661,-54,"eocene_Base","Source","AA'",NA
10113.34954,35.35271691,32.46900323,-57,"eocene_Base","Source","AA'",NA
10779.02509,35.34875327,32.46386972,-72,"eocene_Base","Source","AA'",NA
11446.53424,35.34479008,32.4587361,-69,"eocene_Base","Source","AA'",NA
12115.57393,35.34082734,32.45360235,-69,"eocene_Base","Source","AA'",NA
12785.90388,35.33686505,32.44846847,-80,"eocene_Base","Source","AA'",NA
13457.3313,35.33290322,32.44333447,-20,"eocene_Base","Source","AA'",NA
14129.69973,35.32894183,32.43820035,13,"eocene_Base","Source","AA'",NA
14802.88095,35.3249809,32.4330661,41,"eocene_Base","Source","AA'",NA
15476.7689,35.32102042,32.42793173,88,"eocene_Base","Source","AA'",NA
16151.27511,35.31706039,32.42279723,90,"eocene_Base","Source","AA'",NA
16826.32524,35.31310081,32.41766261,100,"eocene_Base","Source","AA'",NA
17501.85635,35.30914168,32.41252787,92,"eocene_Base","Source","AA'",NA
18177.81482,35.305183,32.407393,13,"eocene_Base","Source","AA'",NA
18776.84532,35.30361322,32.40204907,36,"eocene_Base","Source","AA'",NA
19376.70039,35.30204364,32.39670512,60,"eocene_Base","Source","AA'",NA
19977.30573,35.30047423,32.39136115,21,"eocene_Base","Source","AA'",NA
20578.59566,35.29890501,32.38601716,-2,"eocene_Base","Source","AA'",NA
21180.51188,35.29733598,32.38067315,-38,"eocene_Base","Source","AA'",NA
21783.00246,35.29576714,32.37532912,-52,"eocene_Base","Source","AA'",NA
22386.02104,35.29419848,32.36998507,-87,"eocene_Base","Source","AA'",NA
22989.52606,35.29263,32.364641,-120,"eocene_Base","Source","AA'",NA
23447.41685,35.29084586,32.36080607,-80,"eocene_Base","Source","AA'",NA
23905.31834,35.28906188,32.35697111,-44,"eocene_Base","Source","AA'",NA
